"Date","Android","iOS","Samsung","Other"
2025-04,87.69,12.19,0.1,0.02
2025-05,88.8,11.08,0.1,0.02
2025-06,90.73,9.16,0.1,0.01
2025-07,86.67,13.19,0.13,0.02
2025-08,85.39,14.45,0.14,0.02
2025-09,83.03,16.8,0.15,0.01
2025-10,83.12,16.69,0.16,0.02
2025-11,83.92,15.87,0.19,0.02
2025-12,83.25,16.53,0.2,0.01
2026-01,81.83,17.93,0.22,0.02
2026-02,81.92,17.86,0.21,0.02
2026-03,80.46,19.33,0.2,0.01
2026-04,80.01,19.93,0.05,0.01
