"Date","Android","iOS","Samsung","Unknown","Other"
2025-04,92.93,6.95,0.08,0.04,0.01
2025-05,92.63,7.24,0.1,0.02,0.01
2025-06,93.11,6.78,0.08,0.02,0.01
2025-07,93.05,6.84,0.09,0.02,0.01
2025-08,94.88,5.03,0.07,0.01,0
2025-09,94.78,5.14,0.06,0.01,0
2025-10,93.71,6.17,0.08,0.03,0.01
2025-11,93.01,6.87,0.08,0.02,0.01
2025-12,93.11,6.78,0.08,0.02,0.01
2026-01,91.94,7.93,0.1,0.02,0.01
2026-02,90.07,9.85,0.06,0.02,0
2026-03,88.3,11.61,0.07,0.02,0.01
2026-04,88.67,11.28,0.02,0.02,0.01
