"Date","Android","iOS","Samsung","Unknown","Other"
2025-04,85.15,14.73,0.11,0.01,0
2025-05,84.45,15.42,0.11,0.01,0.01
2025-06,85.67,14.18,0.13,0.01,0.01
2025-07,87.02,12.83,0.12,0.02,0.01
2025-08,88.25,11.64,0.09,0.01,0.01
2025-09,86.26,13.63,0.09,0.02,0
2025-10,86.07,13.79,0.1,0.03,0
2025-11,85.5,14.37,0.09,0.04,0
2025-12,82.02,17.84,0.11,0.03,0.01
2026-01,81.07,18.78,0.12,0.02,0.01
2026-02,80.22,19.63,0.13,0.01,0
2026-03,80.24,19.64,0.09,0.02,0.01
2026-04,79.82,20.13,0.02,0.02,0.01
