"Date","Android","iOS","Samsung","Other"
2025-04,87.8,12.12,0.06,0.01
2025-05,88.22,11.71,0.06,0.01
2025-06,90.02,9.91,0.06,0.01
2025-07,86.31,13.6,0.08,0.01
2025-08,84.12,15.77,0.11,0.01
2025-09,82.02,17.85,0.12,0.01
2025-10,80.9,18.98,0.11,0.02
2025-11,75.16,24.7,0.12,0.01
2025-12,68.75,31.09,0.14,0.01
2026-01,67.35,32.49,0.15,0.02
2026-02,65.96,33.92,0.11,0.02
2026-03,68.22,31.65,0.12,0.01
2026-04,69.61,30.35,0.03,0.01
