"Date","Android","iOS","Samsung","Other"
2025-04,85.25,14.59,0.14,0.02
2025-05,90.86,9.05,0.08,0.01
2025-06,93.9,6.03,0.07,0.01
2025-07,84.3,15.53,0.15,0.02
2025-08,84,15.82,0.16,0.03
2025-09,82.54,17.28,0.15,0.03
2025-10,84.44,15.4,0.13,0.03
2025-11,83.76,16.05,0.17,0.03
2025-12,84.63,15.2,0.15,0.02
2026-01,81.47,18.33,0.18,0.03
2026-02,79.57,20.24,0.18,0.02
2026-03,80.97,18.89,0.13,0.01
2026-04,81.9,18.07,0.03,0.01
